agent_id,DPAD_Group,agent_talk_percentage_mean,total_calls,rank
Patrick Garcia,High-DPAD,57.603593073593075,231,1
Rafael Munoz,Low-DPAD,58.08553149606299,254,2
Bryan Bernal,High-DPAD,58.263028169014085,71,3
Mary Lopez,Low-DPAD,58.51442,250,4
Darwin Sanchez,Low-DPAD,58.976559278350514,388,5
Art Estrada,High-DPAD,59.52164325842697,356,6
Cora Johnson,High-DPAD,60.10111650485437,206,7
Oscar Ross,High-DPAD,60.86311926605505,327,8
Benjamin Franklin,Low-DPAD,61.26079545454545,484,9
Ice Bello,Low-DPAD,62.566566265060246,249,10
Ismael Marenco,Low-DPAD,63.45967741935484,403,11
