agent_id,DPAD_Group,interruption_rate_mean,total_calls,rank
Cora Johnson,High-DPAD,0.15138349514563107,206,1
Mary Lopez,Low-DPAD,0.163712,250,2
Oscar Ross,High-DPAD,0.17600305810397554,327,3
Ismael Marenco,Low-DPAD,0.19163275434243174,403,4
Darwin Sanchez,Low-DPAD,0.21125000000000002,388,5
Art Estrada,High-DPAD,0.2415168539325843,356,6
Benjamin Franklin,Low-DPAD,0.2449793388429752,484,7
Patrick Garcia,High-DPAD,0.27144155844155843,231,8
Ice Bello,Low-DPAD,0.27318875502008033,249,9
Rafael Munoz,Low-DPAD,0.2845275590551181,254,10
Bryan Bernal,High-DPAD,0.3874647887323943,71,11
